"No.","Time","Source","Destination","Protocol","Length","Info"
"180","12.380836","157.240.231.15","192.168.1.163","TCP","60","443  >  51196 [ACK] Seq=29 Ack=65 Win=279 Len=0"
"181","12.442049","157.240.231.15","192.168.1.163","TLSv1.2","82","Application Data"
"182","12.484352","192.168.1.163","157.240.231.15","TCP","54","51196  >  443 [ACK] Seq=65 Ack=57 Win=516 Len=0"
"183","12.538886","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"184","12.970883","192.168.1.16","224.0.0.251","MDNS","580","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa NSEC, cache flush iPhone-di-Alessandro.local OPT"
"185","12.970883","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","600","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa NSEC, cache flush iPhone-di-Alessandro.local OPT"
"186","13.540490","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"187","14.198432","192.168.1.16","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"188","14.198432","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","174","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"189","14.330229","192.168.1.163","149.154.167.91","SSL","239","Continuation Data"
"190","14.364528","149.154.167.91","192.168.1.163","SSL","143","Continuation Data"
"191","14.364528","149.154.167.91","192.168.1.163","TCP","60","443  >  52005 [ACK] Seq=362 Ack=186 Win=4977 Len=0"
"192","14.364611","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=186 Ack=451 Win=513 Len=0"
"193","14.487862","192.168.1.163","149.154.167.43","SSL","159","Continuation Data"
"194","14.540381","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"195","14.566555","149.154.167.43","192.168.1.163","TCP","60","443  >  51142 [ACK] Seq=79432 Ack=713 Win=68768 Len=0"
"196","15.426349","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.27? Tell 192.168.1.1"
"197","15.539189","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"198","16.540691","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"199","16.963709","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"200","16.963870","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"201","16.963870","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"202","16.965565","192.168.1.69","239.255.255.250","SSDP","485","NOTIFY * HTTP/1.1 "
"203","17.064208","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"204","17.064208","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"205","17.064208","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"206","17.065701","192.168.1.16","224.0.0.251","MDNS","580","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa NSEC, cache flush iPhone-di-Alessandro.local OPT"
"207","17.066941","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","600","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa NSEC, cache flush iPhone-di-Alessandro.local OPT"
"208","17.067283","192.168.1.69","239.255.255.250","SSDP","485","NOTIFY * HTTP/1.1 "
